abn,charityname,registrationstatus,charitysize,activity_desc,other_activity_desc
11095489197,UCB ASIA Pacific Limited,Registered,Medium,"Provided the copyright for our popular daily devotional, which is published in simple English and/or translated into local languages such as Nepalese, Pidgin and Tetun for printing and distribution to local communities through churches and schools, or through broadcast via local radio stations, web and social media. We provided assistance with training and resources for improved best practices with local board committees of management in their responsibilities in good governance. Local fund-raising initiatives, Computers and broadcast software, funding of capital works projects such as constructing studios, offices and transmission sites.",
11115225986,Cultural Infusion Foundation Ltd,Registered,Medium,Cultural Infusion s Living Culture program works to preserve cultural diversity in impoverished communities in Africa and Asia. We recognize that community cultural practices imbue members with a sense of identity and belonging.,
11123738223,Christian Surfers International,Registered,Medium,"We provide leadership development training and support to Christian Surfers missions to enable them to reach and serve the surfing community internationally, including by coaching, training, communication platforms and ensuring governance structures are in place",
11142051054,S4 Global Church Limited,Registered,Small,"Normally - Preaching, speaking, ministering at churches, running ministry courses -Due to covid no overseas in person services operated during this period however did happen in an 'online' capacity",
11154257851,Outer Urban Projects Limited,Registered,Medium,The projects above created artistic works remotely in 2021 during the pandemic.   These artistic works were created remotely as initial material that will then engage our young associate artists from the Outer North in 2022 - 2024.,Developed some artistic works remotely due to pandemic restrictions with Victorian artists in Berlin and Scotland.  Works were developed remotely on film and delivered remotely back to Melbourne.
11166137748,STAND4SALONE LIMITED,Registered,Small,Providing relief materials to Covid-19 victims.,
11240691077,Shalom Media Australia Limited,Registered,Medium,Last year charitable commission has approved this additional purpose and it is in the beginning stage . We expect to do this operationgs in coming years but commencing with small amounts,
11251242256,The Amasiko Partnership,Registered,Small,"1. Raise $ for educational and food supplies for children 2. Raise $ for a female goat to be purchased to initially build a breeding herd. Woman who contribute to the community programs receive an Amasiko goat for 6 months. After the goat has successfully given birth and the kid is weaned, the woman keeps the kid (if there is a multiple birth the other goat/s are given to another family) and the Amasiko Goat is passed to another family. 3. Provide woman with reusable Menstrual packs. health and sexual education 4. Rwigo River divides Kasena Village. Crossing is difficult but in monsoon months, is impossible. Children cannot attend school & community cannot sell crops, travel to work or receive medical assistance. The funds raised will employ local Ugandan engineers to construct the bridge which will provide safe passage across the river to avoid deaths, avoid lengthy alternate routes and will be used by other communities apart from Kasenda",
11285126970,The Trustee For Russell Mckimmin Charitable Trust,Registered,Small, ,
11311764284,Blacktown Church Of Christ,Registered,Small,Financial support to church ministers,
11342479894,The Whibley Family Charitable Trust Foundation,Registered,Small, ,
11461295878,Palmdale Trust,Registered,Small, ,
11513626906,The Trustee For The Frances Elizabeth Thomson Trust,Registered,Small, ,
11518339303,Australia Vietnam Friendship Society Inc,Registered,Small,"We are continuing to raise funds in Australia for the activities we have planned in Vietnam. However due to the pandemic, we have put all of our plans on hold, until it is safe to travel again internationally.",
11593458271,The Trustee For Marcus De Vedas Estate,Registered,Small, ,
11603517984,Buddharatana Monastery Of Australia Inc.,Registered,Small,Unable to operate due to pandemic.,
11614147938,Smile For Me Limited,Registered,Small,The charity performs surgical missions to Cebu in the Philippines to correct cleft lip and palate in children.,
11622458986,NAMAL Australia Ltd,Registered,Small,"Support scholarships for disadvantaged deserving student at Namal University at Mianwali, Pakistan towards their higher education.",
11622801978,New Nature Ministries Ltd,Registered,Small,We financially support struggling churches and families around the world.,
11625157923,The Trustee For Charles Gellion Bequest,Registered,Small, ,
11643569153,ANGELINA CASK NEUROLOGICAL RESEARCH FOUNDATION LTD,Registered,Small,"ACNRF in collaboration with Virginia Polytechnic Institute and State University have commenced its first Research Project headed by Professor K Mukherjee, who is researching a drug that may prevent cerebellar degeneration due to CASK loss and or generally improve the quality of life of children suffering from the CASK gene disorder. This is in accordance with ACNRF Mission to advance innovations in medical research and its vision to find a cure for CASK gene mutations and associated conditions related to CASK.",ACNRF has raised funding to advance medical research and collaborated with Virginia Polytechnic Institute and State University to commence its first research project headed by Professor K Mukherjee.
11705860022,Presentation Society of Australia and Papua New Guinea,Registered,Small,"Society supports and oversees the operation of charitable activities of a local Presentation Sisters group. These activities include support for local families, education, medical and Catholic Church charitable works.",
11711326268,The Trustee For Mildred Tanner Estate,Registered,Small, ,
11721615402,The Trustee For Roy O & Constance M Young Trust,Registered,Small, ,
11798265998,Revival Glory Ministries Incorporated,Registered,Small,"Supporting  ministries, orphanages and charities and those affected by Covid pandemic.",
11860405511,The Trustee for Ethel Paxton Trust Fund,Registered,Small, ,
11869057704,St Eleftherios Monastery of Mt Athos Foundation,Registered,Small,"Our activities can be directly attributed to the restoration, maintenance & renovation of the Greek monastery. These measures have provided the local community with a sanctuary that offers a place of reflection, shelter, and other programs that improve the wider community.",
11881765826,Perth Pentecostal Assembly Inc.,Registered,Medium,"Working in the rural villages of India providing vocations trainings, motivation and providing school items for the kids. Also supported those are in need due to covid impacts.",
11883368767,Australian Respiratory Council,Registered,Medium,"The Australian Respiratory Council (ARC) is a charitable, not-for-profit organisation with a mission of improving lung health for vulnerable communities in Australia and the Indo-Pacific Region through translation of research and evidence-based practice into sustainable health solutions.",
11889371769,The Trustee For Centrepoint Church Trust Fund,Registered,Medium,We support other local and overseas charities,
11897576643,C Mead Trust,Registered,Small, ,
11981935286,The Trustee For John And Connie Kennedy Charitable Trust,Registered,Small, ,
12007032266,The Trustee For Mark Mitchell Research Foundation,Registered,Small, ,
12065515190,Relief Hope Agency Nation Development Service Incorporated,Registered,Small,"Relief Hope Agency Nation Development Service Inc, provides primary scholarships for orphanages in 13 primary schools in Jur River County, Wau, Western Bhar El Ghazal State, South Sudan. And from primary one to primary eight each class with 5 pupils X 8 classes = 40 Pupils and the school fees per year is equivalent to $650 AUD for 40 students who are orphans.",
12068072068,The Trustee For Sister M Winning,Registered,Small, ,
12095165558,Australian Wool Innovation Limited,Registered,Large,Working with global wool supply and international consumers to promote the benefits of producing yarn/fabric/garments made from Australian merino wool and ultimately promoting these garments to the consumer.,
12105209704,El Brown Estate,Registered,Small, ,
12128608147,Crossculture Church Of Christ Inc,Registered,Large,Website: https://www.ashakiransociety.org/,
12154317790,Send Hope,Registered,Small,Fund programs to prevent maternal death and improve foetal and maternal health,
12164177931,Neighbourhood Economics Ltd,Registered,Large,"We provide the same programs for organisations and groups overseas, as we do in Australia. Part of the program is delivered on the ground, in country (travel allowing), and some parts delivered via online meetings and workshops.",
12165033205,Australia Timor-Leste Advancement Society Ltd,Registered,Small,ATLAS works with partners in Timor-Leste to identify and manage our projects. We have a governance system in place to ensure the project is meeting our goals and that finances are accounted for.,
12179262653,The Trustee For The Mary Thomson Memorial Scholarship Trust,Registered,Small, ,
12187447023,The Trustee For Samuel Laurie & Eileen Fanny Gluyas Trust,Registered,Small, ,
12217831154,Credit Union Foundation Australia,Registered,Medium,"Economic development agency Primary and secondary education Economic, social and community development Employment and training",
12286724219,Christian Women Communicating Intl In Aust,Registered,Medium,Training and providing material for leaders in KYB groups,Providing KYB study material in digital or print format.
12314134057,The Anganwadi Project Incorporated,Registered,Small,"TAP recruits and trains Australian design professionals who volunteer their time to live and work in India for 6 months to oversee the design and construction of these schools.  The volunteers support the philosophy of Re-Use, Re-Cycle and Reduce utilising local labour and largely recycled materials.",
12353562686,Ac Macbean Estate,Registered,Small, ,
12366124831,The Steele Family Charitable Trust,Registered,Small, ,
12430083656,The Household of God Ministry Inc.,Registered,Small,Support destitude children in Northern Ghana and southern Burkina by teaching them English and moral education while preaching the gospel to them and their family,
12451729033,Children of Burma Inc.,Registered,Small,"Our main priority is to provide safe housing for the children. If the children are provided with safe housing, food and clothing, they are less likely to be sold into the sex trade by their parents, who can t afford to care for them.",
12451824370,Chairo Parent Governed Christian Education Limited,Registered,Large,We provide assistance to a charity that helps to build houses and provide drinking water to communities in the Hohidiai region of Indonesia,
12533434208,Life Unlimited Church Whyalla Incorporated,Registered,Small,Sending money through Compassion Australia to help feed the child and their family and also for education,
12543713669,The Trustee For The Doepke Foundation,Registered,Small, ,
12552547913,Falemaama Christian Centre Incorporated,Registered,Small,"Our church donates funds to sponsor churches in Solomon Islands, the Kingdom of Tonga and other Pacific Island nation church ministries. We also partner together with LoveWorld Ministries, a global ministry with HeadQuarters in Lagos, Nigeria.  These funds are sent overseas and sometimes used to ship Rhapsody of Realities (daily devotional based on the Bible) for FREE DISTRIBUTION only.  Monies donated to LoveWorld ministries are for the global broadcasting of ministry programs on television, live streaming across internet platforms and sponsorship of the printing and free distribution of Rhapsody of Realities around the world.",
12576873045,New Life Church Raymond Terrace,Registered,Medium,Financial & prayer support for church in the Philippines.,
12585031991,No Barriers Education Foundation Inc,Registered,Small,"No Barriers Education Foundation provides 2 secondary schools in Mashonaland Central, Zimbabwe with:1) supplies for the local preparation of daily school meals for all students. This addresses not only a nutritional need in this area, but also draws children back to school, especially after prolonged periods of covid-19 related lock-downs.2) provision of sanitary hygiene kits, toiletries and menstrual health related workshop to better equip girls to manage their menstruation and attend school with confidence.",
12624115927,The Trustee For The Hart Family Perpetual Trust,Registered,Small, ,
12628821045,Global Mission United Ltd,Registered,Small,We gifts funds of A$50 - A$100 regularly to churches overseas to cook and feed homeless on the streets. We gifts money to aid in children's education and typhoon crisis.,
12630588902,JDE FOUNDATION LTD,Registered,Small,Paying fees for children in Zimbabwe,
12643592318,MSSP Philippines Mission Appeal,Registered,Small,Financial donations are given to the charity and transferred to the program overseas.,
